,id,left,top,right,bottom,CCTV수,교차로수,주차면수,N버스_노선개수,지하철역수,가게면적,음주사고수,index_dt,index_rf,index_gbm,y_pred_dt,y_pred_rf,y_pred_gbm
151,5378,206758.2087,444781.686,206858.2087,444681.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
152,5379,206758.2087,444681.686,206858.2087,444581.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
153,5382,206758.2087,444381.686,206858.2087,444281.686,1.0,0.0,0,0,0,0.0,0,-0.02602201333298365,-0.012309867989017547,-0.02423809196903174,1,1,1
154,5383,206758.2087,444281.686,206858.2087,444181.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
155,5380,206758.2087,444581.686,206858.2087,444481.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
156,5381,206758.2087,444481.686,206858.2087,444381.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
157,5402,206758.2087,442381.686,206858.2087,442281.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
158,5403,206758.2087,442281.686,206858.2087,442181.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
159,5400,206758.2087,442581.686,206858.2087,442481.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
160,5401,206758.2087,442481.686,206858.2087,442381.686,2.0,0.0,0,0,0,0.0,0,-0.0520440266659673,-0.024619735978035094,-0.04847618393806348,1,1,1
161,5406,206758.2087,441981.686,206858.2087,441881.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
162,5407,206758.2087,441881.686,206858.2087,441781.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
163,5404,206758.2087,442181.686,206858.2087,442081.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
164,5405,206758.2087,442081.686,206858.2087,441981.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
165,5394,206758.2087,443181.686,206858.2087,443081.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
166,5395,206758.2087,443081.686,206858.2087,442981.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
167,5392,206758.2087,443381.686,206858.2087,443281.686,1.0,0.0,0,0,0,0.0,0,-0.02602201333298365,-0.012309867989017547,-0.02423809196903174,1,1,1
168,5393,206758.2087,443281.686,206858.2087,443181.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
169,5398,206758.2087,442781.686,206858.2087,442681.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
170,5399,206758.2087,442681.686,206858.2087,442581.686,2.0,0.0,11,0,0,0.0,0,-0.0520440266659673,-0.023849295442546135,-0.0472949546886026,1,1,1
171,5396,206758.2087,442981.686,206858.2087,442881.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
172,5397,206758.2087,442881.686,206858.2087,442781.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
173,5578,206958.2087,442581.686,207058.2087,442481.686,0.0,0.0,0,1,0,0.0,0,-0.007878630624526576,-0.0038867018197196795,0.0,1,1,1
174,5579,206958.2087,442481.686,207058.2087,442381.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
175,5576,206958.2087,442781.686,207058.2087,442681.686,2.0,1.0,0,0,0,0.0,0,0.056502339957191644,0.07265712670015426,0.03685376798370117,1,1,1
176,5577,206958.2087,442681.686,207058.2087,442581.686,2.0,0.0,0,0,0,168.66,0,-0.048294908726134345,-0.02014512879663869,-0.0436030181371369,1,1,1
177,5582,206958.2087,442181.686,207058.2087,442081.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
178,5583,206958.2087,442081.686,207058.2087,441981.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
179,5580,206958.2087,442381.686,207058.2087,442281.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
180,5581,206958.2087,442281.686,207058.2087,442181.686,1.0,0.0,0,0,0,0.0,0,-0.02602201333298365,-0.012309867989017547,-0.02423809196903174,1,1,1
181,5570,206958.2087,443381.686,207058.2087,443281.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
182,5571,206958.2087,443281.686,207058.2087,443181.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
183,5568,206958.2087,443581.686,207058.2087,443481.686,0.0,0.0,0,0,0,323.96,0,0.0072012584358371,0.008594769017462228,0.00936031538520204,1,1,1
184,5569,206958.2087,443481.686,207058.2087,443381.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
185,5574,206958.2087,442981.686,207058.2087,442881.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
186,5575,206958.2087,442881.686,207058.2087,442781.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
187,5572,206958.2087,443181.686,207058.2087,443081.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
188,5573,206958.2087,443081.686,207058.2087,442981.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
189,5586,206958.2087,441781.686,207058.2087,441681.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
190,5584,206958.2087,441981.686,207058.2087,441881.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
191,5585,206958.2087,441881.686,207058.2087,441781.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
192,5562,206958.2087,444181.686,207058.2087,444081.686,1.0,0.0,0,0,0,0.0,0,-0.02602201333298365,-0.012309867989017547,-0.02423809196903174,1,1,1
193,5563,206958.2087,444081.686,207058.2087,443981.686,1.0,0.0,0,0,0,0.0,0,-0.02602201333298365,-0.012309867989017547,-0.02423809196903174,1,1,1
