,id,left,top,right,bottom,CCTV수,교차로수,주차면수,N버스_노선개수,지하철역수,가게면적,음주사고수
2256,1826,202758.2087,443981.686,202858.2087,443881.686,1.0,0.0,0,0,0,2524.17,0
2257,1827,202758.2087,443881.686,202858.2087,443781.686,0.0,1.0,0,0,0,2335.18,0
2258,1824,202758.2087,444181.686,202858.2087,444081.686,1.0,0.0,0,0,0,1116.46,0
2259,1825,202758.2087,444081.686,202858.2087,443981.686,1.0,0.0,0,0,0,2731.59,0
2260,1830,202758.2087,443581.686,202858.2087,443481.686,0.0,0.0,0,0,0,1167.8,0
2261,1831,202758.2087,443481.686,202858.2087,443381.686,0.0,0.0,0,0,0,270.54,0
2262,1828,202758.2087,443781.686,202858.2087,443681.686,1.0,0.0,0,0,0,1226.09,0
2263,1829,202758.2087,443681.686,202858.2087,443581.686,1.0,0.0,0,0,0,2151.71,0
2264,1802,202758.2087,446381.686,202858.2087,446281.686,2.0,0.0,0,0,0,45.51,0
2265,1803,202758.2087,446281.686,202858.2087,446181.686,0.0,0.0,0,0,0,848.58,0
2266,1800,202758.2087,446581.686,202858.2087,446481.686,1.0,0.0,0,0,0,170.62,0
2267,1801,202758.2087,446481.686,202858.2087,446381.686,1.0,0.0,0,0,0,117.37,0
2268,1806,202758.2087,445981.686,202858.2087,445881.686,0.0,0.0,0,0,0,723.26,0
2269,1807,202758.2087,445881.686,202858.2087,445781.686,0.0,0.0,0,0,0,3258.68,0
2270,1804,202758.2087,446181.686,202858.2087,446081.686,2.0,0.0,0,0,1,459.73,2
2271,1805,202758.2087,446081.686,202858.2087,445981.686,0.0,0.0,0,0,0,201.6,0
2272,1794,202758.2087,447181.686,202858.2087,447081.686,1.0,0.0,0,0,0,141.96,0
2273,1795,202758.2087,447081.686,202858.2087,446981.686,2.0,0.0,0,0,0,1519.61,0
2274,1792,202758.2087,447381.686,202858.2087,447281.686,0.0,0.0,0,0,0,641.35,0
2275,1793,202758.2087,447281.686,202858.2087,447181.686,0.0,0.0,0,0,0,0.0,0
2276,1798,202758.2087,446781.686,202858.2087,446681.686,1.0,0.0,0,0,0,1564.0,0
2277,1799,202758.2087,446681.686,202858.2087,446581.686,2.0,0.0,0,0,0,285.85,0
2278,1796,202758.2087,446981.686,202858.2087,446881.686,1.0,0.0,0,0,0,2270.13,0
2279,1797,202758.2087,446881.686,202858.2087,446781.686,1.0,1.0,0,0,0,457.98,1
2280,1818,202758.2087,444781.686,202858.2087,444681.686,1.0,0.0,0,0,0,312.76,0
2281,1819,202758.2087,444681.686,202858.2087,444581.686,1.0,0.0,0,0,0,874.9,0
2282,1816,202758.2087,444981.686,202858.2087,444881.686,1.0,0.0,0,0,0,0.0,0
2283,1817,202758.2087,444881.686,202858.2087,444781.686,0.0,0.0,0,0,0,0.0,0
2284,1822,202758.2087,444381.686,202858.2087,444281.686,0.0,0.0,0,0,0,2438.5,0
2285,1823,202758.2087,444281.686,202858.2087,444181.686,1.0,1.0,0,0,0,1795.91,0
2286,1820,202758.2087,444581.686,202858.2087,444481.686,1.0,0.0,0,0,0,3768.28,0
2287,1821,202758.2087,444481.686,202858.2087,444381.686,0.0,0.0,0,0,0,691.25,1
2288,1810,202758.2087,445581.686,202858.2087,445481.686,2.0,0.0,0,0,0,201.75,0
2289,1811,202758.2087,445481.686,202858.2087,445381.686,1.0,0.0,0,0,0,345.65,0
2290,1808,202758.2087,445781.686,202858.2087,445681.686,2.0,1.0,0,0,0,0.0,1
2291,1809,202758.2087,445681.686,202858.2087,445581.686,1.0,0.0,0,0,0,401.45,0
2292,1814,202758.2087,445181.686,202858.2087,445081.686,0.0,0.0,0,0,0,2493.7,0
2293,1815,202758.2087,445081.686,202858.2087,444981.686,0.0,0.0,0,0,0,0.0,0
2294,1812,202758.2087,445381.686,202858.2087,445281.686,0.0,0.0,0,0,0,1499.6,0
2295,1813,202758.2087,445281.686,202858.2087,445181.686,0.0,1.0,0,0,0,122.04,1
2296,2016,202958.2087,442781.686,203058.2087,442681.686,0.0,0.0,0,0,0,0.0,0
2297,1994,202958.2087,444981.686,203058.2087,444881.686,1.0,0.0,0,0,0,0.0,0
2298,1995,202958.2087,444881.686,203058.2087,444781.686,0.0,0.0,0,0,0,116.03,0
2299,1992,202958.2087,445181.686,203058.2087,445081.686,1.0,0.0,0,0,0,538.62,0
2300,1993,202958.2087,445081.686,203058.2087,444981.686,1.0,0.0,0,0,0,0.0,0
2301,1998,202958.2087,444581.686,203058.2087,444481.686,0.0,0.0,0,0,0,1093.72,0
2302,1999,202958.2087,444481.686,203058.2087,444381.686,0.0,0.0,0,4,0,5651.94,0
2303,1996,202958.2087,444781.686,203058.2087,444681.686,3.0,0.0,0,0,0,791.06,0
2304,1997,202958.2087,444681.686,203058.2087,444581.686,4.0,0.0,0,0,0,2544.98,0
2305,1986,202958.2087,445781.686,203058.2087,445681.686,3.0,0.0,0,0,0,135.78,0
2306,1987,202958.2087,445681.686,203058.2087,445581.686,0.0,0.0,0,0,0,264.64,0
2307,1984,202958.2087,445981.686,203058.2087,445881.686,3.0,0.0,0,0,0,619.43,0
2308,1985,202958.2087,445881.686,203058.2087,445781.686,1.0,0.0,0,0,0,40.75,0
2309,1990,202958.2087,445381.686,203058.2087,445281.686,0.0,1.0,0,0,1,364.42,3
2310,1991,202958.2087,445281.686,203058.2087,445181.686,0.0,1.0,0,0,0,315.51,1
2311,1988,202958.2087,445581.686,203058.2087,445481.686,1.0,0.0,0,0,0,0.0,0
2312,1989,202958.2087,445481.686,203058.2087,445381.686,1.0,0.0,0,0,0,428.86,0
2313,2010,202958.2087,443381.686,203058.2087,443281.686,0.0,0.0,0,0,0,922.71,0
2314,2011,202958.2087,443281.686,203058.2087,443181.686,4.0,0.0,0,0,0,256.6,0
2315,2008,202958.2087,443581.686,203058.2087,443481.686,1.0,0.0,0,0,0,575.34,0
